n gamma/Delta t*Delta noise defect
4 0.0 0.5 dephasing 1.517883e-18
4 0.0 2.0 dephasing 2.081668e-17
4 0.0 8.0 dephasing 3.608225e-16
4 0.1 0.5 dephasing 1.517883e-18
4 0.1 0.5 rot-dephasing 8.673617e-17
4 0.1 0.5 depolarizing 3.469447e-17
4 0.1 0.5 thermal-equal 2.775558e-17
4 0.1 0.5 amp-damp 4.857496e-02
4 0.1 0.5 thermal-unequal 3.490637e-02
4 0.1 2.0 dephasing 1.387779e-17
4 0.1 2.0 rot-dephasing 1.526557e-16
4 0.1 2.0 depolarizing 9.714451e-17
4 0.1 2.0 thermal-equal 6.938894e-17
4 0.1 2.0 amp-damp 1.709661e-01
4 0.1 2.0 thermal-unequal 1.093604e-01
4 0.1 8.0 dephasing 2.081668e-16
4 0.1 8.0 rot-dephasing 3.191891e-16
4 0.1 8.0 depolarizing 9.714451e-17
4 0.1 8.0 thermal-equal 8.326673e-17
4 0.1 8.0 amp-damp 3.515876e-01
4 0.1 8.0 thermal-unequal 1.746290e-01
4 1.0 0.5 dephasing 5.421011e-19
4 1.0 0.5 rot-dephasing 2.914335e-16
4 1.0 0.5 depolarizing 1.249001e-16
4 1.0 0.5 thermal-equal 4.440892e-16
4 1.0 0.5 amp-damp 4.857496e-02
4 1.0 0.5 thermal-unequal 2.074267e-01
4 1.0 2.0 dephasing 2.168404e-17
4 1.0 2.0 rot-dephasing 3.608225e-16
4 1.0 2.0 depolarizing 1.110223e-16
4 1.0 2.0 thermal-equal 9.714451e-17
4 1.0 2.0 amp-damp 1.709661e-01
4 1.0 2.0 thermal-unequal 3.326053e-01
4 1.0 8.0 dephasing 4.024558e-16
4 1.0 8.0 rot-dephasing 6.036838e-16
4 1.0 8.0 depolarizing 1.110223e-16
4 1.0 8.0 thermal-equal 9.020562e-17
4 1.0 8.0 amp-damp 3.515876e-01
4 1.0 8.0 thermal-unequal 3.960744e-01
4 10.0 0.5 dephasing 8.944668e-19
4 10.0 0.5 rot-dephasing 9.575674e-16
4 10.0 0.5 depolarizing 1.249001e-16
4 10.0 0.5 thermal-equal 8.326673e-17
4 10.0 0.5 amp-damp 4.857496e-02
4 10.0 0.5 thermal-unequal 4.047552e-01
4 10.0 2.0 dephasing 1.702197e-17
4 10.0 2.0 rot-dephasing 3.191891e-15
4 10.0 2.0 depolarizing 1.318390e-16
4 10.0 2.0 thermal-equal 8.326673e-17
4 10.0 2.0 amp-damp 1.709661e-01
4 10.0 2.0 thermal-unequal 4.078569e-01
4 10.0 8.0 dephasing 2.775558e-16
4 10.0 8.0 rot-dephasing 1.224021e-14
4 10.0 8.0 depolarizing 1.457168e-16
4 10.0 8.0 thermal-equal 1.249001e-16
4 10.0 8.0 amp-damp 3.515876e-01
4 10.0 8.0 thermal-unequal 4.078569e-01
5 0.0 0.5 dephasing 1.734723e-18
5 0.0 2.0 dephasing 1.561251e-17
5 0.0 8.0 dephasing 3.330669e-16
5 0.1 0.5 dephasing 1.517883e-18
5 0.1 0.5 rot-dephasing 1.023487e-16
5 0.1 0.5 depolarizing 4.163336e-17
5 0.1 0.5 thermal-equal 3.469447e-17
5 0.1 0.5 amp-damp 4.860888e-02
5 0.1 0.5 thermal-unequal 3.450743e-02
5 0.1 2.0 dephasing 1.561251e-17
5 0.1 2.0 rot-dephasing 2.359224e-16
5 0.1 2.0 depolarizing 1.249001e-16
5 0.1 2.0 thermal-equal 1.387779e-16
5 0.1 2.0 amp-damp 1.726240e-01
5 0.1 2.0 thermal-unequal 1.055243e-01
5 0.1 8.0 dephasing 4.718448e-16
5 0.1 8.0 rot-dephasing 4.996004e-16
5 0.1 8.0 depolarizing 1.526557e-16
5 0.1 8.0 thermal-equal 9.020562e-17
5 0.1 8.0 amp-damp 3.494140e-01
5 0.1 8.0 thermal-unequal 1.452110e-01
5 1.0 0.5 dephasing 7.589415e-19
5 1.0 0.5 rot-dephasing 4.440892e-16
5 1.0 0.5 depolarizing 1.942890e-16
5 1.0 0.5 thermal-equal 6.245005e-16
5 1.0 0.5 amp-damp 4.860888e-02
5 1.0 0.5 thermal-unequal 1.882554e-01
5 1.0 2.0 dephasing 2.255141e-17
5 1.0 2.0 rot-dephasing 6.938894e-16
5 1.0 2.0 depolarizing 1.457168e-16
5 1.0 2.0 thermal-equal 8.326673e-17
5 1.0 2.0 amp-damp 1.726240e-01
5 1.0 2.0 thermal-unequal 2.718092e-01
5 1.0 8.0 dephasing 3.920475e-16
5 1.0 8.0 rot-dephasing 1.082467e-15
5 1.0 8.0 depolarizing 1.769418e-16
5 1.0 8.0 thermal-equal 9.714451e-17
5 1.0 8.0 amp-damp 3.494140e-01
5 1.0 8.0 thermal-unequal 3.193200e-01
5 10.0 0.5 dephasing 9.486769e-19
5 10.0 0.5 rot-dephasing 6.453171e-16
5 10.0 0.5 depolarizing 9.367507e-17
5 10.0 0.5 thermal-equal 7.632783e-17
5 10.0 0.5 amp-damp 4.860888e-02
5 10.0 0.5 thermal-unequal 3.241464e-01
5 10.0 2.0 dephasing 1.691355e-17
5 10.0 2.0 rot-dephasing 2.220446e-15
5 10.0 2.0 depolarizing 9.020562e-17
5 10.0 2.0 thermal-equal 9.020562e-17
5 10.0 2.0 amp-damp 1.726240e-01
5 10.0 2.0 thermal-unequal 3.272681e-01
5 10.0 8.0 dephasing 2.723516e-16
5 10.0 8.0 rot-dephasing 8.104628e-15
5 10.0 8.0 depolarizing 8.673617e-17
5 10.0 8.0 thermal-equal 1.110223e-16
5 10.0 8.0 amp-damp 3.494140e-01
5 10.0 8.0 thermal-unequal 3.272681e-01
6 0.0 0.5 dephasing 4.336809e-19
6 0.0 2.0 dephasing 8.673617e-18
6 0.0 8.0 dephasing 1.110223e-16
6 0.1 0.5 dephasing 6.505213e-19
6 0.1 2.0 dephasing 1.040834e-17
6 0.1 8.0 dephasing 6.938894e-17
6 1.0 0.5 dephasing 7.047314e-19
6 1.0 2.0 dephasing 8.239937e-18
6 1.0 8.0 dephasing 5.898060e-17
6 10.0 0.5 dephasing 3.794708e-19
6 10.0 2.0 dephasing 3.198396e-18
6 10.0 8.0 dephasing 3.057450e-17
