n,T,alpha,kappa_over_Delta,epsilon,pi_min,gap_H,tv_step,bound_step,bound_step_col,tv_stat,bound_stat,bound_stat_rig,ratio_stat_over_tv,ratio_bound_over_meas
4,1.0,0.5,0.01,0.0393081777686968,3.276593252647866e-06,0.09605344511065717,0.03974137992868882,11996.621472629018,700.7786526175639,0.06993086145829147,124895.27532103051,68997720.55717073,1.75964854727677,1785982.2218194923
4,1.0,0.5,0.03,0.11214521765267374,3.276593252647866e-06,0.12524975640219782,0.10411872190612667,34226.051740717056,2296.933270379713,0.18521959901678844,273262.421611516,150962349.5097283,1.7789269367307663,1475342.9068094855
4,1.0,0.5,0.1,0.3165996317999082,3.276593252647866e-06,0.06846018297702083,0.32742478222113675,96624.31984068897,8079.155916433614,0.41617321165789234,1411394.4140803954,779717224.1172279,1.2710498235189067,3391362.9578844844
4,1.0,0.5,0.3,0.6376724637872473,3.276593252647866e-06,0.01323050757090527,0.7317620468166528,194613.83370628735,16550.879184734877,0.6197714464155658,14709476.009390265,8126170606.770894,0.8469576266106257,23733710.37736925
4,1.0,0.5,1.0,0.9188093886672705,3.276593252647866e-06,0.00014610484521004885,0.9700959058262362,280415.146848064,20450.61589415356,0.8646855365650357,1919273426.181882,1060292242377.5837,0.8913402596298745,2219620133.5877523
4,0.3,0.5,0.01,0.0393081777686968,2.5872209214490426e-18,0.11606388367779341,0.015268399651535052,1.5193204972492722e+16,441093900688293.25,0.02540634511512538,1.3090381340909454e+17,8.138334592484302e+25,1.6639821916484272,5.152406330620238e+18
4,0.3,0.5,0.03,0.11214521765267374,2.5872209214490426e-18,0.11998216150391516,0.040041934994097896,4.334582204517107e+16,1162824642990520.0,0.07540448547582489,3.6126888782343405e+17,2.2460209602706035e+26,1.8831379024749768,4.791079543129552e+18
4,0.3,0.5,0.1,0.3165996317999082,2.5872209214490426e-18,0.05504948303296342,0.08186536933637437,1.2237054407498685e+17,2620428024929070.5,0.24039672135697285,2.2229190417957573e+18,1.3819963271506656e+27,2.9364885702672807,9.246877533304097e+18
4,0.3,0.5,0.3,0.6376724637872473,2.5872209214490426e-18,0.009749441057338437,0.12272293185693534,2.4647004764869542e+17,2607500729492189.5,0.5690574401713083,2.528042850858374e+19,1.5716928367950782e+28,4.636928335730187,4.4425090902903144e+19
4,0.3,0.5,1.0,0.9188093886672705,2.5872209214490426e-18,0.0004084271184316979,0.8666830456322686,3.5513371937046125e+17,834635426590618.6,0.8264754814554754,8.695155227060444e+20,5.405807571874019e+29,0.9536075334813309,1.0520766099131854e+21
5,1.0,0.5,0.01,0.036691036175954345,1.8005578006487457e-07,0.06394147019623209,0.03771958145460766,203775.90520171766,5360.478891122959,0.1204962303875661,3186913.040571996,7510462457.822183,3.1945272386591346,26448238.507723898
5,1.0,0.5,0.03,0.10532030478055504,1.8005578006487457e-07,0.07516280177371915,0.11523438944402922,584931.4350201823,21235.464579665808,0.2912057019978026,7782193.069134697,18339963513.648224,2.527072893801766,26724040.826623034
5,1.0,0.5,0.1,0.31008107479518576,1.8005578006487457e-07,0.024892619469323973,0.3779435911016253,1722138.6553187738,84013.03172776794,0.5439050044504042,69182701.2195733,163039930373.21033,1.4391168874303086,127196294.67186067
5,1.0,0.5,0.3,0.6470758465899732,1.8005578006487457e-07,0.000799488674586124,0.8459766732908682,3593751.502157186,167556.0312633806,0.674962312514698,4495062427.266508,10593322496020.42,0.7978497916367828,6659723578.519984
5,1.0,0.5,1.0,0.9272623612176991,1.8005578006487457e-07,2.164758128198052e-06,0.9937195595294053,5149860.748289538,202636.01089363926,0.8983157077111761,2378954341922.85,5606380546448112.0,0.9039931830833545,2648238610882.3613
